REVIEW_ID,DEVICE_ID,LOT_NUMBER,PRODUCT,REGION,DATE,REVIEW_TEXT,RATING
1,SC-2024-341-001,LOT341,SmartCollar,EMEA,2024-10-23,"Meets basic needs, solid product overall.",3
2,SC-2024-341-002,LOT341,SmartCollar,EMEA,2024-12-05,Fantastic device with consistent performance. Great value for money.,5
3,SC-2024-341-003,LOT341,SmartCollar,EMEA,2024-12-08,Best pet collar we've owned. Build quality is outstanding.,5
4,SC-2024-341-004,LOT341,SmartCollar,EMEA,2024-10-21,Fantastic device with consistent performance. Great value for money.,4
5,SC-2024-341-005,LOT341,SmartCollar,EMEA,2024-11-26,Works perfectly in all weather conditions. Highly recommend!,4
6,SC-2024-341-006,LOT341,SmartCollar,EMEA,2024-11-05,Fantastic device with consistent performance. Great value for money.,4
7,SC-2024-341-007,LOT341,SmartCollar,EMEA,2024-12-02,Exceptional quality and reliability. Could not be happier!,4
8,SC-2024-341-008,LOT341,SmartCollar,EMEA,2024-11-01,Very impressed with the durability and battery life.,4
9,SC-2024-341-009,LOT341,SmartCollar,EMEA,2024-11-28,Works perfectly in all weather conditions. Highly recommend!,5
10,SC-2024-341-010,LOT341,SmartCollar,EMEA,2024-10-31,Love this product! Battery lasts forever and GPS is accurate.,5
11,SC-2024-341-011,LOT341,SmartCollar,EMEA,2024-10-24,Perfect collar with amazing battery performance. Highly recommend!,4
12,SC-2024-341-012,LOT341,SmartCollar,EMEA,2024-10-31,Satisfactory performance overall. Does what it should.,2
13,SC-2024-341-013,LOT341,SmartCollar,EMEA,2024-11-14,Fantastic device with consistent performance. Great value for money.,5
14,SC-2024-341-014,LOT341,SmartCollar,EMEA,2024-11-21,Perfect collar with amazing battery performance. Highly recommend!,4
15,SC-2024-341-015,LOT341,SmartCollar,EMEA,2024-12-11,Works perfectly in all weather conditions. Highly recommend!,4
16,SC-2024-341-016,LOT341,SmartCollar,EMEA,2024-10-22,Satisfactory performance overall. Does what it should.,3
17,SC-2024-341-017,LOT341,SmartCollar,EMEA,2024-11-23,"Meets basic needs, solid product overall.",3
18,SC-2024-341-018,LOT341,SmartCollar,EMEA,2024-12-09,Exceptional quality and reliability. Could not be happier!,4
19,SC-2024-341-019,LOT341,SmartCollar,EMEA,2024-10-19,Perfect collar with amazing battery performance. Highly recommend!,4
20,SC-2024-341-020,LOT341,SmartCollar,EMEA,2024-11-29,Perfect collar with amazing battery performance. Highly recommend!,4
21,SC-2024-341-021,LOT341,SmartCollar,EMEA,2024-11-29,Perfect collar with amazing battery performance. Highly recommend!,4
22,SC-2024-341-022,LOT341,SmartCollar,EMEA,2024-10-19,Works as expected. Decent value for money.,3
23,SC-2024-341-023,LOT341,SmartCollar,EMEA,2024-11-07,Satisfactory performance overall. Does what it should.,2
24,SC-2024-341-024,LOT341,SmartCollar,EMEA,2024-10-27,Very impressed with the durability and battery life.,4
25,SC-2024-341-025,LOT341,SmartCollar,EMEA,2024-11-19,Satisfactory performance overall. Does what it should.,2
26,SC-2024-341-026,LOT341,SmartCollar,EMEA,2024-11-11,Love this product! Battery lasts forever and GPS is accurate.,4
27,SC-2024-341-027,LOT341,SmartCollar,EMEA,2024-10-25,Best pet collar we've owned. Build quality is outstanding.,5
28,SC-2024-341-028,LOT341,SmartCollar,EMEA,2024-11-10,Love this product! Battery lasts forever and GPS is accurate.,5
29,SC-2024-341-029,LOT341,SmartCollar,EMEA,2024-10-28,Perfect collar with amazing battery performance. Highly recommend!,5
